time=17240, port=1, send=1, transmission=successfully

time=17250, port=1, send=0, transmission=successfully

time=17260, port=1, send=0, transmission=successfully

time=17270, port=1, send=0, transmission=successfully

time=17280, port=1, send=0, transmission=successfully

time=17290, port=1, send=0, transmission=successfully

time=17300, port=1, send=0, transmission=successfully

time=17310, port=1, send=1, transmission=successfully

time=17320, port=1, send=0, transmission=successfully

time=17330, port=1, send=0, transmission=successfully

time=17340, port=1, send=0, transmission=successfully

time=17350, port=1, send=0, transmission=successfully

time=17360, port=1, send=0, transmission=successfully

time=17370, port=1, send=1, transmission=successfully

time=17380, port=1, send=0, transmission=successfully

time=17390, port=1, send=1, transmission=successfully

time=17400, port=1, send=0, transmission=successfully

time=17410, port=1, send=0, transmission=successfully

time=17420, port=1, send=0, transmission=successfully

time=17430, port=1, send=0, transmission=successfully

time=17440, port=1, send=0, transmission=successfully

time=17450, port=1, send=0, transmission=successfully

time=17460, port=1, send=1, transmission=successfully

time=17470, port=1, send=1, transmission=successfully

time=17480, port=1, send=0, transmission=successfully

time=17490, port=1, send=0, transmission=successfully

time=17500, port=1, send=1, transmission=successfully

time=17510, port=1, send=1, transmission=successfully

time=17520, port=1, send=1, transmission=successfully

time=17530, port=1, send=1, transmission=successfully

time=17540, port=1, send=1, transmission=successfully

time=17550, port=1, send=0, transmission=successfully

time=17560, port=1, send=0, transmission=successfully

time=17570, port=1, send=0, transmission=successfully

time=17580, port=1, send=1, transmission=successfully

time=17590, port=1, send=0, transmission=successfully

time=17600, port=1, send=0, transmission=successfully

time=17610, port=1, send=0, transmission=successfully

time=17620, port=1, send=1, transmission=successfully

time=17630, port=1, send=1, transmission=successfully

time=17640, port=1, send=0, transmission=successfully

time=17650, port=1, send=0, transmission=successfully

time=17660, port=1, send=0, transmission=successfully

time=17670, port=1, send=0, transmission=successfully

time=17680, port=1, send=0, transmission=successfully

time=17690, port=1, send=1, transmission=successfully

time=17700, port=1, send=0, transmission=successfully

time=17710, port=1, send=1, transmission=successfully

time=17720, port=1, send=0, transmission=successfully

time=17730, port=1, send=0, transmission=successfully

time=17740, port=1, send=0, transmission=successfully

time=17750, port=1, send=0, transmission=successfully

time=17760, port=1, send=0, transmission=successfully

